year,blood_lead_level
2013,0.573079441
2013,0.605420955
2013,0.682997899
2013,0.709609926
2013,0.735051094
2013,0.737103061
2013,0.745516107
2013,0.757978681
2013,0.762230363
2013,0.765617439
2013,0.803112652
2013,0.817177187
2013,0.819108225
2013,0.822967801
2013,0.833251553
2013,0.83331013
2013,0.835031956
2013,0.915411797
2013,0.916618584
2013,0.918171952
2013,0.93000315
2013,0.948300115
2013,0.960532513
2013,0.972607751
2013,0.974123277
2013,0.977686013
2013,0.984537363
2013,1.009029586
2013,1.020545723
2013,1.023169892
2013,1.024123935
2013,1.031023808
2013,1.033516692
2013,1.035522998
2013,1.036447054
2013,1.039125811
2013,1.055438589
2013,1.058105534
2013,1.06783774
2013,1.072511497
2013,1.073577997
2013,1.083266257
2013,1.084160228
2013,1.090052073
2013,1.095012972
2013,1.101307486
2013,1.103277875
2013,1.105932624
2013,1.117003394
2013,1.118517438
2013,1.123652931
2013,1.128001868
2013,1.136541471
2013,1.140036268
2013,1.142461793
2013,1.143792096
2013,1.154116897
2013,1.161381326
2013,1.163949806
2013,1.169788722
2013,1.172194
2013,1.172716342
2013,1.17385921
2013,1.179872974
2013,1.180944013
2013,1.188141247
2013,1.191532338
2013,1.195488035
2013,1.197690662
2013,1.19945187
2013,1.20430309
2013,1.204756041
2013,1.207780565
2013,1.210220224
2013,1.211231572
2013,1.212707893
2013,1.214819417
2013,1.214884429
2013,1.21535374
2013,1.216636971
2013,1.21723183
2013,1.219343115
2013,1.220396343
2013,1.228257352
2013,1.229509434
2013,1.230263059
2013,1.232091057
2013,1.243353886
2013,1.243973386
2013,1.244393677
2013,1.245423353
2013,1.247085512
2013,1.255456588
2013,1.256160352
2013,1.256474071
2013,1.257041906
2013,1.260382258
2013,1.26357454
2013,1.26838761
2013,1.272496418
2013,1.272770053
2013,1.27282586
2013,1.284230433
2013,1.284232077
2013,1.286032136
2013,1.288921509
2013,1.291304495
2013,1.294230369
2013,1.294701095
2013,1.299568848
2013,1.30093578
2013,1.303573631
2013,1.306939511
2013,1.31031271
2013,1.311965357
2013,1.312911071
2013,1.316052301
2013,1.316133658
2013,1.317292909
2013,1.319969559
2013,1.322410423
2013,1.323008634
2013,1.3245258
2013,1.32463004
2013,1.32617925
2013,1.326463353
2013,1.329891272
2013,1.330421795
2013,1.341100402
2013,1.342275025
2013,1.344287311
2013,1.344331388
2013,1.348859906
2013,1.350360606
2013,1.353979797
2013,1.366120591
2013,1.368619521
2013,1.370183238
2013,1.378310506
2013,1.383204055
2013,1.385116627
2013,1.386224571
2013,1.386247706
2013,1.391524247
2013,1.395898564
2013,1.396430015
2013,1.408782257
2013,1.424206859
2013,1.427019155
2013,1.433561852
2013,1.437144193
2013,1.438300477
2013,1.441658825
2013,1.442271884
2013,1.449904809
2013,1.451017772
2013,1.453103909
2013,1.457345776
2013,1.461979655
2013,1.462548709
2013,1.464472911
2013,1.465738047
2013,1.466938111
2013,1.467109271
2013,1.46724909
2013,1.468066203
2013,1.468066643
2013,1.469500965
2013,1.470341682
2013,1.473282994
2013,1.477338759
2013,1.493109652
2013,1.494801499
2013,1.504115971
2013,1.512391796
2013,1.514542315
2013,1.519412018
2013,1.526076605
2013,1.529082588
2013,1.530496268
2013,1.530757981
2013,1.532810703
2013,1.532960823
2013,1.539237048
2013,1.543735931
2013,1.548310071
2013,1.553888824
2013,1.554493682
2013,1.560346053
2013,1.560774032
2013,1.561097427
2013,1.565153002
2013,1.566960488
2013,1.569067147
2013,1.569530919
2013,1.575839162
2013,1.584196839
2013,1.586231285
2013,1.587196266
2013,1.587697047
2013,1.58843009
2013,1.589146953
2013,1.597436834
2013,1.598763928
2013,1.602344475
2013,1.603842889
2013,1.608175526
2013,1.612663545
2013,1.613775746
2013,1.617255223
2013,1.622634718
2013,1.62384548
2013,1.625474571
2013,1.626310097
2013,1.626782083
2013,1.628819749
2013,1.641694833
2013,1.641977789
2013,1.645007242
2013,1.646130161
2013,1.646977328
2013,1.650950467
2013,1.651700064
2013,1.661057168
2013,1.664586187
2013,1.668358188
2013,1.676506159
2013,1.677007673
2013,1.683534363
2013,1.684531441
2013,1.687295526
2013,1.693052838
2013,1.69323955
2013,1.700426178
2013,1.701250118
2013,1.703287043
2013,1.70404487
2013,1.705819087
2013,1.707723754
2013,1.708744228
2013,1.70933242
2013,1.709838741
2013,1.711606236
2013,1.717503804
2013,1.719360966
2013,1.734382469
2013,1.744576421
2013,1.747030738
2013,1.748000179
2013,1.759349049
2013,1.765406133
2013,1.768657228
2013,1.77606511
2013,1.777418594
2013,1.797269807
2013,1.821771256
2013,1.824410699
2013,1.832492545
2013,1.835456157
2013,1.839646866
2013,1.844944033
2013,1.845413492
2013,1.84629029
2013,1.849313908
2013,1.850699916
2013,1.851593352
2013,1.853141959
2013,1.85363997
2013,1.854095944
2013,1.862468482
2013,1.869530505
2013,1.874154798
2013,1.875967517
2013,1.876909151
2013,1.878677414
2013,1.879108042
2013,1.886791581
2013,1.891759322
2013,1.897360698
2013,1.898485078
2013,1.900126893
2013,1.902720266
2013,1.904619505
2013,1.905077984
