geoid,county,phosdex
12057013207,Hillsborough,57.48143184
12069030806,Lake,1.426606996
12099001801,Palm Beach,13.45163097
12057011904,Hillsborough,6.806204201
12009064126,Brevard,51.76361531
12031016200,Duval,97.59277223
12103025414,Pinellas,3.705763845
12099006910,Palm Beach,19.2031809
12015020502,Charlotte,38.53282169
12001000301,Alachua,50.33770834
12099007749,Palm Beach,27.09371828
12057980500,Hillsborough,52.49538414
12083000802,Marion,25.96885629
12086010604,Miami-Dade,0.298772363
12063210300,Jackson,15.28413343
12081002008,Manatee,43.5226657
12073000500,Leon,35.54636929
12095010200,Orange,71.08187262
12117022205,Seminole,9.224735368
12035060303,Flagler,28.6565423
12081000103,Manatee,34.45777468
12086008803,Miami-Dade,1.38664894
12095014502,Orange,7.713762749
12071001908,Lee,21.71522953
12127080300,Volusia,26.04187406
12057011611,Hillsborough,37.26355118
12101032113,Pasco,14.10676422
12011091500,Broward,14.58838152
12081000407,Manatee,29.94160743
12075970302,Levy,32.8691367
12011110337,Broward,9.163533185
12001002217,Alachua,49.52742737
12009061100,Brevard,19.25361538
12011070402,Broward,1.079065516
12099007835,Palm Beach,6.074110656
12057011016,Hillsborough,57.42240014
12011110336,Broward,8.442249523
12099005938,Palm Beach,20.30836953
12103023500,Pinellas,44.26533613
12083000801,Marion,23.55191346
12009060101,Brevard,74.67200418
12086015200,Miami-Dade,4.271140577
12089050303,Nassau,96.78385265
12099007710,Palm Beach,19.32734416
12115000801,Sarasota,33.15981716
12009066500,Brevard,16.88784592
12099006402,Palm Beach,24.40432772
12105010300,Polk,50.92413852
12031014329,Duval,110.3595309
12083001204,Marion,42.90837855
12086019100,Miami-Dade,4.402267716
12005001403,Bay,14.0948831
12095011702,Orange,70.69353034
12005002604,Bay,4.299061692
12099004602,Palm Beach,12.9790476
12099000211,Palm Beach,3.905970316
12105011912,Polk,0.760601671
12086004500,Miami-Dade,5.623116096
12086003702,Miami-Dade,4.159821831
12071010304,Lee,5.679998656
12103025209,Pinellas,2.703193749
12057011301,Hillsborough,17.26781637
12011091801,Broward,8.258011174
12011060607,Broward,1.893628881
12011050312,Broward,9.179640443
12103022302,Pinellas,39.94503833
12095016504,Orange,0.411165834
